id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
700025464876550239,Home in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 private bath,23932937,Devon,,South Prescott,37.805348848636555,-122.29736018925905,Private room,82,1,20,2023-06-23,1.98,1,152,20,
700080710908159498,Guest suite in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,476427474,Erica,,Fairview Park,37.84362,-122.259,Entire home/apt,138,2,20,2023-06-10,3.31,1,298,20,
701037929686085440,Rental unit in Oakland · Studio · 1 bed · 1 bath,219769481,Joanne,,Lincoln Highlands,37.80311,-122.2016,Entire home/apt,65,28,2,2022-10-16,0.23,3,1,2,
701787502621256273,Guest suite in Oakland · 1 bedroom · 1 bed · 1 private bath,2300813,Kelly,,Woodminster,37.80458,-122.18786,Private room,130,10,0,,,1,365,0,
702141985215986732,Rental unit in Oakland · 1 bedroom · 2 beds · 1 shared bath,236612244,Take,,Longfellow,37.82803,-122.26976,Private room,97,1,0,,,1,365,0,
702342003095818639,Serviced apartment in Oakland · Studio · 1 bed · 1 bath,263143710,Rishi,,Hoover-Foster,37.81564,-122.27229,Entire home/apt,74,30,0,,,28,280,0,
702853635392389753,Guesthouse in Oakland · 1 bedroom · 2 beds · 1 bath,476966116,Larry.Lionel,,Fruitvale Station,37.7738722,-122.2233774,Entire home/apt,103,3,0,,,1,365,0,
703704632328279584,Home in Oakland · ★5.0 · 3 bedrooms · 4 beds · 1 bath,174648334,Anne,,North Kennedy Tract,37.77895,-122.23343,Entire home/apt,309,28,3,2023-06-15,3,12,362,3,
704335662670526496,Home in Oakland · ★4.54 · 1 bedroom · 1 bed · 1 bath,140870848,Khidir,,Toler Heights,37.75492,-122.15279,Entire home/apt,75,2,13,2023-06-11,1.36,4,54,13,
704438428326845752,Home in Oakland · ★4.97 · 2 bedrooms · 3 beds · 1 bath,400025600,Stella,,Old City-Produce And Waterfront,37.80579,-122.27946,Entire home/apt,176,2,39,2023-05-26,3.95,1,84,39,
704440133352681846,Rental unit in Oakland · ★5.0 · 2 bedrooms · 2 beds · 1 bath,55736674,Conor,,Cleveland Heights,37.80126,-122.24764,Entire home/apt,115,14,4,2023-06-12,0.45,3,0,4,
704521147179797157,Condo in Oakland · 1 bedroom · 1 bed · 1.5 baths,7345045,Carolina,,Clawson,37.82584111780794,-122.28537909686567,Private room,115,1,2,2023-02-23,0.23,1,355,2,
704599613823484172,Home in Oakland · 1 bedroom · 2 beds · 1 shared bath,420487573,Nore,,Columbia Gardens,37.73399,-122.19517,Private room,100,2,0,,,3,365,0,
705297529949884170,Rental unit in Oakland · ★4.20 · Studio · 1 bed · 1 bath,104390959,J,,Longfellow,37.82726,-122.26926,Entire home/apt,80,3,5,2023-04-15,0.56,8,90,5,
705374061394502983,Rental unit in Oakland · ★4.60 · Studio · 1 bed · 1 bath,104390959,J,,Longfellow,37.82577,-122.27121,Entire home/apt,80,3,5,2023-06-03,0.54,8,62,5,
705381974682188277,Home in Oakland · ★4.81 · 1 bedroom · 2 beds · 1 bath,33456760,Yasmin,,Prescott,37.813,-122.29628,Entire home/apt,301,2,21,2023-03-24,2.16,2,167,21,
705393427241556701,Rental unit in Oakland · ★4.58 · Studio · 1 bed · 1 bath,104390959,J,,Longfellow,37.82575,-122.27138,Entire home/apt,85,3,12,2023-04-28,1.29,8,87,12,
705412590951678968,Rental unit in Oakland · ★4.50 · Studio · 1 bed · 1 bath,104390959,J,,Longfellow,37.82742,-122.26928,Entire home/apt,80,3,12,2023-05-27,1.29,8,41,12,
706740800648063949,Rental unit in Oakland · ★4.86 · 2 bedrooms · 3 beds · 1 bath,805729,Sid,,Oakland Ave-Harrison St,37.81755,-122.25734,Entire home/apt,173,1,57,2023-06-12,5.88,1,334,57,
