id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40656025,Condo in New Orleans · Studio · 2 beds · 1 bath,145801588,Aaron,,Central Business District,29.94984,-90.06881,Entire home/apt,220,3,2,2023-05-08,0.38,1,239,2,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
40134237,Condo in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94521,-90.06667,Entire home/apt,223,1,7,2022-11-13,0.22,41,339,2,"19STR-17144, 19-OSTR-00330"
39590489,Home in New Orleans · ★4.90 · 2 bedrooms · 3 beds · 1 bath,169609787,Lance,,Tulane - Gravier,29.960649490356445,-90.0892562866211,Entire home/apt,131,2,73,2023-05-29,1.74,2,81,38,"19STR-21429, 19-oSTR-2142"
40134239,Rental unit in New Orleans · ★4.96 · 1 bedroom · 2 beds · 1 bath,293742020,New Orleans Luxury,,Central Business District,29.94489,-90.06549,Entire home/apt,180,1,27,2023-04-27,0.67,41,357,14,"19STR-17147, 19-OSTR-00330"
39591042,Condo in New Orleans · ★4.94 · 2 bedrooms · 6 beds · 2 baths,62774691,Luke,,Uptown,29.92553,-90.10983,Entire home/apt,277,1,16,2023-04-16,0.66,9,165,5,"17STR-20694, 20-Ostr-02109"
40135218,Loft in New Orleans · ★4.90 · 1 bedroom · 2 beds · 1 bath,13902467,Rachel,,Bywater,29.96112,-90.03363,Entire home/apt,115,31,98,2023-04-05,3.06,1,87,30,"20-RSTR-1993, 20-OSTR-1992"
39623859,Home in New Orleans · ★4.80 · 3 bedrooms · 3 beds · 2 baths,102925668,Sean,,Read Blvd West,30.02149,-89.96902,Entire home/apt,115,2,70,2023-05-21,1.74,1,314,23,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
40680615,Home in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,34932171,Abigayle,,East Riverside,29.91844,-90.09897,Entire home/apt,59,30,5,2023-01-01,0.12,1,7,2,
40137238,Condo in New Orleans · ★4.77 · 2 bedrooms · 2 beds · 2 baths,305725367,The Alexandre,,Central Business District,29.94923,-90.06993,Entire home/apt,97,1,103,2023-05-29,3.31,18,347,49,"00STR-00000, 19-OSTR-0000"
40704451,Condo in New Orleans · 2 bedrooms · 2 beds · 2 baths,314702788,Hospitality NOLA,,French Quarter,29.96379,-90.06365,Entire home/apt,295,30,0,,,3,0,0,
40704824,Tiny home in New Orleans · ★4.88 · 1 bed · 1 bath,67506285,Tabitha,,St. Thomas Dev,29.92802,-90.07349,Entire home/apt,71,1,80,2023-05-24,3.25,2,185,49,"21-RSTR-04775, 21-OSTR-03740"
39626795,Home in New Orleans · ★5.0 · 3 bedrooms · 5 beds · 2 baths,3992305,Angie,,Broadmoor,29.94385,-90.10532,Entire home/apt,275,3,82,2023-05-29,1.91,1,81,30,"22RSTR-07826, 22OSTR-07826"
40137350,Condo in New Orleans · ★4.83 · 1 bedroom · 2 beds · 1 bath,305725367,The Alexandre,,Central Business District,29.9511,-90.06835,Entire home/apt,84,1,102,2023-05-29,3.25,18,350,70,"22-CSTR-14984, 22-OSTR-02647"
39632366,Guest suite in New Orleans  · ★4.90 · 1 bedroom · 1 bed · 1 bath,251193440,Emelda,,Florida Area,29.97894,-90.03897,Entire home/apt,55,2,111,2023-05-08,2.55,1,156,35,"20-RSTR-31911, 20-OSTR-31906"
40137616,Condo in New Orleans · ★4.65 · 2 bedrooms · 2 beds · 2 baths,305725367,The Alexandre,,Central Business District,29.95013999938965,-90.06880187988281,Entire home/apt,114,1,48,2023-05-16,1.57,18,355,35,"22-CSTR-14980, 22-OSTR-02647"
40724471,Home in New Orleans · ★4.93 · 3 bedrooms · 3 beds · 2 baths,21855028,Matt,,St. Roch,29.97539,-90.05322,Entire home/apt,149,2,84,2023-04-24,2.05,1,165,29,"19STR-26588, 20-OSTR-20615"
40137736,Condo in New Orleans · ★4.65 · 2 bedrooms · 2 beds · 2 baths,305725367,The Alexandre,,Central Business District,29.95063,-90.06971,Entire home/apt,104,1,95,2023-05-29,3.01,18,345,48,"22-CSTR-14979, 22-OSTR-02647"
40137847,Condo in New Orleans · ★4.53 · 2 bedrooms · 4 beds · 2 baths,305725367,The Alexandre,,Central Business District,29.94932,-90.06957,Entire home/apt,145,1,38,2023-05-29,1.20,18,357,13,"22-CSTR-14974, 22-OSTR-02647"
40725152,Home in New Orleans · ★4.99 · 4 bedrooms · 4 beds · 3 baths,4815812,Thomas,,Mid-City,29.96782,-90.08621,Entire home/apt,699,3,81,2023-05-21,1.96,1,159,31,"21-RSTR-00993, 20-OSTR-00333"
39652927,Home in New Orleans · ★4.94 · 2 bedrooms · 2 beds · 1 bath,213608825,Karen,,Marlyville - Fontainbleau,29.95627,-90.11788,Entire home/apt,91,1,124,2023-06-05,2.84,1,176,57,"19STR-11454, 19-OSTR-0000"
40137919,Condo in New Orleans · ★4.72 · 2 bedrooms · 2 beds · 2 baths,305725367,The Alexandre,,Central Business District,29.95116,-90.06936,Entire home/apt,112,1,159,2023-05-28,5.05,18,327,87,"22-CSTR-14972, 22-OSTR-02647"
39673044,Home in New Orleans · ★4.97 · 1 bedroom · 1 bed · 1 bath,246596193,Karis,,Lakeview,30.00656,-90.11075,Entire home/apt,150,1,70,2023-05-29,2.15,1,238,25,"20-rstr-3149, 20-ostr-3148"
40726892,Guest suite in New Orleans · ★4.88 · 1 bedroom · 1 bed · 1 bath,28711795,Alice & Scott,,Lower Garden District,29.93563,-90.07332,Entire home/apt,104,1,304,2023-05-30,7.31,6,229,75,"22RSTR-18216, 22-OSTR-18216"
40734601,Condo in New Orleans · ★4.95 · 1 bedroom · 1 bed · 1 bath,237336807,Lacha Management,,Seventh Ward,29.97372,-90.07149,Entire home/apt,80,30,19,2022-07-03,0.45,6,0,2,"18STR-19741, 19-OSTR-1234"
40137984,Rental unit in New Orleans · ★5.0 · 2 bedrooms · 2 beds · 2 baths,293742020,New Orleans Luxury,,Central Business District,29.94668,-90.06653,Entire home/apt,233,1,7,2023-04-19,0.22,41,346,6,"19STR-16677, 20-OSTR-00330"
40735263,Home in New Orleans · ★4.96 · 2 bedrooms · 3 beds · 2 baths,75260925,Jessica,,Milan,29.92832,-90.09273,Entire home/apt,249,1,77,2023-05-30,1.84,5,330,20,19STR-22231
39706065,Home in New Orleans · ★4.62 · 2 bedrooms · 2 beds · 1 bath,305182389,Sky,,Mid-City,29.96299,-90.09797,Entire home/apt,145,2,78,2023-05-21,1.95,2,165,36,"19STR-24868, 20-OSTR-0310"
39725321,Boutique hotel in New Orleans · 1 bedroom · 2 beds · 1 bath,284287415,NOPSI Hotel,,Central Business District,29.95299,-90.07212,Private room,361,1,1,2023-04-21,0.64,10,318,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
39725501,Boutique hotel in New Orleans · 1 bedroom · 2 beds · 1 shared bath,284287415,NOPSI Hotel,,Central Business District,29.95204,-90.07272,Private room,264,1,1,2020-07-13,0.03,10,343,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
40137988,Condo in New Orleans · ★4.70 · 1 bedroom · 2 beds · 1 bath,305725367,The Alexandre,,Central Business District,29.9491,-90.06935,Entire home/apt,84,1,107,2023-05-27,3.61,18,347,71,"22-CSTR-14970, 22-OSTR-02647"
40138037,Condo in New Orleans · ★5.0 · 1 bedroom · 2 beds · 1 bath,305725367,The Alexandre,,Central Business District,29.94988,-90.06998,Entire home/apt,850,1,3,2020-12-28,0.10,18,96,0,"00STR-00000, 19-OSTR-0000"
39725576,Boutique hotel in New Orleans · 1 bedroom · 1 bed · 1 private bath,284287415,NOPSI Hotel,,Central Business District,29.95139,-90.07348,Private room,361,1,0,,,10,0,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
40735833,Home in New Orleans · ★4.63 · 5 bedrooms · 6 beds · 3 baths,393425768,Sam,,Tulane - Gravier,29.95913,-90.09017,Entire home/apt,431,1,131,2023-05-23,3.12,43,157,29,"21-CSTR-14976, 21-OSTR-12387"
40138210,Condo in New Orleans · ★4.74 · 3 bedrooms · 5 beds · 3 baths,305725367,The Alexandre,,Central Business District,29.94948,-90.06815,Entire home/apt,241,1,139,2023-05-29,4.48,18,271,68,"22-CSTR-14964, 22-OSTR-02647"
40735949,Home in New Orleans · ★4.71 · 5 bedrooms · 6 beds · 3 baths,393425768,Sam,,Tulane - Gravier,29.95949,-90.09044,Entire home/apt,429,1,129,2023-05-08,3.04,43,156,31,"21-CSTR-14977, 21-OSTR-12387"
40141210,Home in New Orleans · ★4.95 · 3 bedrooms · 4 beds · 2 baths,130969681,Nicole,,Gentilly Terrace,29.99549,-90.05815,Entire home/apt,213,2,108,2023-05-29,2.54,1,153,38,"19STR-21456, 20-OSTR-1420"
40736232,Home in New Orleans · ★4.90 · 2 bedrooms · 2 beds · 1 bath,75260925,Jessica,,Milan,29.9283,-90.09272,Entire home/apt,208,1,63,2023-04-11,1.56,5,331,12,19str-22235
39746711,Rental unit in New Orleans · ★4.78 · 1 bedroom · 1 bed · 1 private bath,6268899,Paula,,Central City,29.932918548583984,-90.08322143554688,Private room,79,3,23,2023-03-13,0.56,9,100,10,
39749360,Rental unit in New Orleans · ★4.84 · 2 bedrooms · 3 beds · 2 baths,6268899,Paula,,Central City,29.932918548583984,-90.08322143554688,Private room,139,3,37,2023-04-16,1.27,9,37,13,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
40151730,Bed and breakfast in New Orleans · ★4.83 · Studio · 2 beds · 1 private bath,11372242,Thiamanti,,Lower Garden District,29.9352,-90.07603,Hotel room,158,2,6,2022-07-18,0.15,49,133,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
39799372,Home in New Orleans · ★4.88 · 3 bedrooms · 3 beds · 1.5 baths,1235193,Amanda,,Treme - Lafitte,29.96799,-90.06739,Entire home/apt,218,3,86,2023-05-29,2.05,1,36,35,"19STR-70216, 19-OSTR-7021"
